characters_araber;Araber
characters_arzt;Arzt
characters_baronin;Baronin
characters_butler;Butler
characters_ermittler;Ermittler
characters_frau;Frau
characters_geiger;Geiger
characters_kapitaen;Kapitaen
characters_ohi;Ohi
characters_pflegerin;Pflegerin
characters_schriftstellerin;Schriftstellerin
characters_wachmann;Wachmann
texts_a16_hinterdeck_ausgang_nebendeck_mo_leave_1;Go to the front
sequences_a16_hinterdeck_ausgang_nebendeck_leave_1#1;[The young woman heads to the side deck.]
texts_a16_hinterdeck_ausgang_salon_mo_leave_1;Enter the saloon
sequences_a16_hinterdeck_ausgang_salon_leave_1#1;[The young woman heads to the salon.]
texts_a16_hinterdeck_badetuch_mo_ex_1;Examine the bath towel
texts_a16_hinterdeck_badetuch_mo_inventar;Bath towel
texts_a16_hinterdeck_badetuch_mo_take_1__2;Take the bath towel
spokentexts_a16_hinterdeck_badetuch_ex_1_st_1;Lovely big towel.
spokentexts_a16_hinterdeck_badetuch_ex_1_st_2;I hope tomorrow I'll have a chance to sunbathe and enjoy the rest of the trip.
spokentexts_a16_hinterdeck_badetuch_ex_2_st_1;I should have been a fashion designer!
sequences_a16_hinterdeck_badetuch_take_1#2;[The young woman takes the bath towel and covers her shoulders with it.]
sequences_a16_hinterdeck_badetuch_take_1#3;[The young woman wears the bath towel as a garment now.]
spokentexts_a16_hinterdeck_badetuch_take_1_st_3_direction;puzzled
spokentexts_a16_hinterdeck_badetuch_take_1_st_3;Hey, what are you doing?  
spokentexts_a16_hinterdeck_badetuch_take_1_st_4;Oh, nothing. I want to sit down on the forecastle and enjoy the stars without ruining my dress.
spokentexts_a16_hinterdeck_badetuch_take_1_st_5;Ah, the stars. Enjoy!
texts_a16_hinterdeck_liegestuhl_mo_ex_1;Examine the deck chair
texts_a16_hinterdeck_liegestuhl_mo_used_mit_handtuch;Reserve a deck chair
spokentexts_a16_hinterdeck_liegestuhl_ex_1_st_1;A deck chair in the sunshine on a cruise ship. I'd be a fool to miss out on that tomorrow.
spokentexts_a16_hinterdeck_liegestuhl_ex_1_st_2;But I have to take care of my duties before I can relax in the sun.
spokentexts_a16_hinterdeck_liegestuhl_used_mit_handtuch_st_1;"I don't like people who ""reserve"" deck chairs with towels!"
