characters_araber;Araber
characters_butler;Butler
characters_direktor;Direktor
characters_frau;Frau
characters_ohi;Ohi
characters_wachmann;Wachmann
texts_a20_dach_ausgang_rabennest_mo_betrachen_1__2;Examiner la porte secrète
spokentexts_a20_dach_ausgang_rabennest_ex_1_st_1_direction;slightly anxious
spokentexts_a20_dach_ausgang_rabennest_ex_1_st_1;Je ne peux pas m'empêcher de penser à elle, pourtant il le faut.
spokentexts_a20_dach_ausgang_rabennest_ex_1_st_2_direction;Pulling himself together
spokentexts_a20_dach_ausgang_rabennest_ex_1_st_2;J'ai un boulot à faire et être déconcentré n'avancera personne.
spokentexts_a20_dach_ausgang_rabennest_ex_2_st_1_direction;slightly evocative, trying to convince himself
spokentexts_a20_dach_ausgang_rabennest_ex_2_st_1;Tout va rentrer dans l'ordre. Tout va bien se passer. Nous allons quitter ce musée et nous marier.
texts_a20_dach_ausgang_seite_mo_leave_1;Descendre l'échelle
spokentexts_a20_dach_ausgang_seite_leave_1_st_1;Non. Inch a dit que tout ce dont j'avais besoin se trouvait dans le sac.
spokentexts_a20_dach_ausgang_seite_leave_1_st_2;Je le crois. Il veut le joyau. Tant qu'il ne l'aura pas, il ne me mettra pas de batons dans les roues !
texts_a20_dach_diamant_mo_inventar_1;Diamant
spokentexts_a20_dach_diamant_ex_1_st_1;Le diamant n'est pas mal... Pas parfait, mais très gros.
spokentexts_a20_dach_diamant_ex_1_st_2;Serait-il adapté pour une bague de fiançailles ?
spokentexts_a20_dach_diamant_ex_2_st_1;Hmm. Le diamant est le matériel naturel le plus dur qui soit... Je devrais bien pouvoir utiliser cette propriété à mon avantage !
texts_a20_dach_kaugummi_mo_inventar_1;Chewing-gum
spokentexts_a20_dach_kaugummi_ex_1_st_1;J'ai entendu dire que mâcher du chewing-gum améliorait la concentration. Ça ne serait pas de trop dans ma situation.
texts_a20_dach_kaugummipackung_mo_use_1;Mâcher le chewing-gum
sequences_a20_dach_kaugummipackung_use_1#1;[The Arab gets out his chewing gum wrapper and looks at it.]
spokentexts_a20_dach_kaugummipackung_use_1_st_1;Il n'en reste qu'un...
sequences_a20_dach_kaugummipackung_use_1#3;[The Arab takes out the gum stick and puts it in his mouth (chewing perhaps short conspicuous). Then he crumpled up the pack and hesitates.]
spokentexts_a20_dach_kaugummipackung_use_1_st_2_direction;full mouth, surprised
spokentexts_a20_dach_kaugummipackung_use_1_st_2;Qu'est-ce que c'est que ça ?
sequences_a20_dach_kaugummipackung_use_1#5;[The Arab folds the package apart, looks inside. He holds a flat hand out and shakes the package out on it. A diamond falls into his hands.]
sequences_a20_dach_kaugummipackung_use_1#6;[The Arab puts the gum pack away (it'S is gone, but the aluminum foil of the gum stick is now in the inventory) and considers the diamond in his hand.]
spokentexts_a20_dach_kaugummipackung_use_1_st_3;À moins que ce ne soit le coup de pub le plus cher de l'histoire, Inch voulait que je trouve le diamant.
spokentexts_a20_dach_kaugummipackung_use_1_st_4;Je ne pense pas que ce soit une récompense pour mon dur labeur.
sequences_a20_dach_kaugummipackung_use_1#9;[The Arab thinks for a moment, then he throws the diamond into the air, grabs it  and puts it on.]
spokentexts_a20_dach_kaugummipackung_use_2_st_1;Un paquet de chewing-gum. Ma marque préférée !
texts_a20_dach_kaugummipapier_mo_inventar_1;Papier de chewing-gum
spokentexts_a20_dach_kaugummipapier_ex_1_st_1;Une fois que le chewing-gum n'aura plus de goût je pourrai l'envelopper dedans et le jeter.
texts_a20_dach_kiste_mo_ex_1;Examiner la bâche
spokentexts_a20_dach_kiste_ex_1_st_1;Une bâche qui couvre quelque chose...
sequences_a20_dach_kiste_ex_1#2;[The Arab is going to the tarp and knocks on it.]
spokentexts_a20_dach_kiste_ex_1_st_2;Hmm. Seau, chiffons, raclette... Des outils classiques pour laver les fenêtres.
spokentexts_a20_dach_kiste_ex_1_st_3;Ils ne voulaient probablement pas trimballer leur équipement jusqu'au toit tous les jours et ont décidé de le ranger ici.
texts_a20_dach_kletterausruestung_mo_ex_1;Examiner l'équipement d'escalade
texts_a20_dach_kletterausruestung_mo_use_1;Enfiler l'équipement d'escalade
