characters_araber;Araber
characters_butler;Butler
characters_ohi;Ohi
texts_a17_frachtraum_auto_junge_frau_mo_ex_1;Examiner la voiture
texts_a17_frachtraum_auto_junge_frau_mo_ex_2;Fouiller la voiture
spokentexts_a17_frachtraum_auto_junge_frau_ex_1_st_1_direction;dreamy
spokentexts_a17_frachtraum_auto_junge_frau_ex_1_st_1;Avant d'aller à Londres pour devenir le protégé de Inch, Alex et moi avons roulé sur la Côte d'Azur dans ce cabriolet.
spokentexts_a17_frachtraum_auto_junge_frau_ex_1_st_2_direction;dreamy
spokentexts_a17_frachtraum_auto_junge_frau_ex_1_st_2;C'était une semaine merveilleuse et sur les falaises près de Toulon je lui ai demandé de m'épouser.
spokentexts_a17_frachtraum_auto_junge_frau_ex_1_st_3_direction;getting to himself again
spokentexts_a17_frachtraum_auto_junge_frau_ex_1_st_3;Mais ce n'est pas le moment pour les souvenirs.
spokentexts_a17_frachtraum_auto_junge_frau_ex_2_st_1;Il n'y a rien dans la voiture qui pourrait m'aider. Alex joue son rôle de Patricia Mayers et elle ne peut rien garder de suspect avec elle.
texts_a17_frachtraum_gitter_mo_leave_1;Grimper
texts_a17_frachtraum_gitter_mo_use_1__2;Tordre les barreaux
texts_a17_frachtraum_gitter_mo_used_mit_schlauch_1-3;Attacher le tuyau sur les barreaux
spokentexts_a17_frachtraum_gitter_ex_1_st_1;Cela pourrait être ma sortie !
spokentexts_a17_frachtraum_gitter_ex_1_st_2;Je ne peux pas casser les barreaux avec un objet lourd. La moitié du navire entendrait le bruit.
sequences_a17_frachtraum_gitter_leave_1#1;[The Arab begins, to climb out the tube.]
sequences_a17_frachtraum_gitter_leave_1#2;[Cut onto the front deck.]
sequences_a17_frachtraum_gitter_leave_1#3;[The Arab slips out of the vent pipe, gets the orientation and  climbs quickly and quietly from the front deck and disappears at the back of the ship towards the staircase hall.]
sequences_a17_frachtraum_gitter_leave_1#4;[End of section.]
spokentexts_a17_frachtraum_gitter_use_1_st_1;Cela pourrait être ma sortie !
sequences_a17_frachtraum_gitter_use_1#2;[The Arab grabs the grid, trying to take it. At one corner, he succeeds. He grabs around but at the other he has no success.]
spokentexts_a17_frachtraum_gitter_use_1_st_2;Les barreaux sont soudés à quatre endroits et, malheureusement, ils ne sont pas tous aussi rouillé que celui-ci.
sequences_a17_frachtraum_gitter_use_2#1;[The Arab grabs the grid and tries to release it. It's not working.]
spokentexts_a17_frachtraum_gitter_use_2_st_1;Aucune chance. Je dois trouver quelque chose.
spokentexts_a17_frachtraum_gitter_use_2_st_2;Et vite ! Le Dr Gebhardt a les moyens de se débarrasser d'un vieil homme discrètement.
sequences_a17_frachtraum_gitter_used_mit_schlauch_1#1;[The Arab takes the hose, puts the nozzle through the grid, pulls it after a few gridbars up and tieds down the hose.]
sequences_a17_frachtraum_gitter_used_mit_schlauch_1#2;[Then he throws the free end of the hose at the shelf down.]
sequences_a17_frachtraum_gitter_used_mit_schlauch_2#1;[The Arab takes the hose, puts the nozzle through the grid, pulls it after a few gridbars up and tieds down the hose.]
spokentexts_a17_frachtraum_gitter_used_mit_schlauch_3_st_1;Non, cela n'a aucun sens.
sequences_a17_frachtraum_gitter_used_mit_schlauch_4#1;[The Arab takes the hose, puts the nozzle through the grid, pulls it after a few gridbars up and tieds down the hose.]
texts_a17_frachtraum_halterung_mo_ex_1;Examiner la cavité
texts_a17_frachtraum_halterung_mo_ex_2;Examiner la poulie
texts_a17_frachtraum_halterung_mo_used_mit_schlauch_1;Placer le tuyau dans l'anneau
texts_a17_frachtraum_halterung_mo_used_mit_schlauch_2-4;Utiliser le tuyau avec la poulie
texts_a17_frachtraum_halterung_mo_used_mit_umlenkrolle_1;Attacher la Poulie à l'anneau
spokentexts_a17_frachtraum_halterung_ex_1_st_1;Hmm. Un anneau fixé dans le plancher.
spokentexts_a17_frachtraum_halterung_ex_1_st_2;On peut y attacher des cordes ou des chaînes.
spokentexts_a17_frachtraum_halterung_ex_1_st_3;Il est enfoncé dans le plancher pour empêcher les gens de trébucher dessus.
spokentexts_a17_frachtraum_halterung_ex_2_st_1;J'ai attaché la poulie à l'anneau. On pourrait suspendre une voiture avec... si le navire était à l'envers.
spokentexts_a17_frachtraum_halterung_used_mit_schlauch_1_st_1;Non, ça ne marchera pas. Le tuyau est trop large.
sequences_a17_frachtraum_halterung_used_mit_schlauch_2#1;[The Arab take the hose and puts it on the floor. Then he takes up the role and contrives the hose.]
sequences_a17_frachtraum_halterung_used_mit_schlauch_2#2;[Then he puts one end of the hose in the direction of shelf, the other end of the hose towards the crane.]
sequences_a17_frachtraum_halterung_used_mit_schlauch_3#1;[The Arab takes the hose which is hanging of the shelf. Then he takes up the role and contrives the hose.]
sequences_a17_frachtraum_halterung_used_mit_schlauch_3#2;[Then he places the free end of the hose towards the crane.]
sequences_a17_frachtraum_halterung_used_mit_schlauch_4#1;[The Arab takes the hose end which is hanging on the hook. Then he takes up the role and contrives the hose.]
sequences_a17_frachtraum_halterung_used_mit_schlauch_4#2;[Then he places the free end of the hose towards the shelf.]
sequences_a17_frachtraum_halterung_used_mit_umlenkrolle_1#1;[The Arab takes the role from the shelf, bind it onto the hooks in the bracket hole and puts the role aside then.]
texts_a17_frachtraum_lastkran_haken_mo_ex_1__2;Examinez le crochet
texts_a17_frachtraum_lastkran_haken_mo_take_1__2;Prendre la poulie
texts_a17_frachtraum_lastkran_haken_mo_used_mit_schlauch_1-5;Attacher le tuyau au crochet
texts_a17_frachtraum_lastkran_haken_mo_used_mit_umlenkrolle_1-2;Attacher la poulie au crochet
spokentexts_a17_frachtraum_lastkran_haken_ex_1_st_1;La grue sert pour le transport du matériel de A à B à l'intérieur du navire. Les grandes grues dans les ports ne peuvent pas atteindre les coins de la soute.
spokentexts_a17_frachtraum_lastkran_haken_ex_2_st_1;Il me faudrait quelque chose a attacher au crochet.
spokentexts_a17_frachtraum_lastkran_haken_ex_3_st_1;J'ai attaché le tuyau au crochet.
spokentexts_a17_frachtraum_lastkran_haken_take_1_st_1;Je ne peux pas atteindre le crochet !
spokentexts_a17_frachtraum_lastkran_haken_take_2_st_1;Je ne pense pas que c'était la solution du puzzle.
sequences_a17_frachtraum_lastkran_haken_take_2#2;[The Arab takes the role, puts it back on the shelf.]
spokentexts_a17_frachtraum_lastkran_haken_used_mit_schlauch_1_st_1;Je ne peux pas atteindre le crochet !
spokentexts_a17_frachtraum_lastkran_haken_used_mit_schlauch_2_st_1;Il n'y a pas de place pour le tuyau si la poulie est sur le crochet.
sequences_a17_frachtraum_lastkran_haken_used_mit_schlauch_3#1;[The Arab take the hose and knotted it firmly on the hook. The rest of the hose he lays on the floor.]
spokentexts_a17_frachtraum_lastkran_haken_used_mit_schlauch_4_st_1;Non, cela ne aucun sens.
sequences_a17_frachtraum_lastkran_haken_used_mit_schlauch_5#1;[The Arab picks up the free hose end and knotted it on the hook.]
sequences_a17_frachtraum_lastkran_haken_used_mit_schlauch_6#1;[The Arab takes the hose and knotted it firmly on the hook.]
spokentexts_a17_frachtraum_lastkran_haken_used_mit_umlenkrolle_1_st_1;Je ne peux pas atteindre le crochet !
