characters_araber;Araber
characters_butler;Butler
characters_ermittler;Ermittler
characters_ohi;Ohi
characters_wachmann;Wachmann
sequences_a22_dach_seq_a22_dach_auftritt_des_ermittlers#0;[The butler turns away on the roof away from the wall.]
spokentexts_a22_dach_seq_a22_dach_auftritt_des_ermittlers_st_1_direction;satisfied
spokentexts_a22_dach_seq_a22_dach_auftritt_des_ermittlers_st_1;Vous avez trouvé votre égal, Corbeau. Vous m'entendez ? Où que vous soyez, je vous ai battu !
sequences_a22_dach_seq_a22_dach_auftritt_des_ermittlers#2;[The butler goes a few steps,  grabs in his his jacket pocket and pulls out the stones, without opening his hand.]
sequences_a22_dach_seq_a22_dach_auftritt_des_ermittlers#3;[Behind a chimney emerges the Investigator.]
spokentexts_a22_dach_seq_a22_dach_auftritt_des_ermittlers_st_2;Bonsoir, Monsieur Inch.
sequences_a22_dach_seq_a22_dach_auftritt_des_ermittlers#5;[The butler is shocked, staring at the investigator. The investigator raises a weapon.]
spokentexts_a22_dach_seq_a22_dach_auftritt_des_ermittlers_st_3_direction;unbelieving, shocked
spokentexts_a22_dach_seq_a22_dach_auftritt_des_ermittlers_st_3;Vous ?!
spokentexts_a22_dach_seq_a22_dach_auftritt_des_ermittlers_st_4;Les Yeux du Sphinx, s'il vous plait.
sequences_a22_dach_seq_a22_dach_auftritt_des_ermittlers#8;[The investigator holds his outstretched hand towards the butler.]
spokentexts_a22_dach_seq_a22_dach_auftritt_des_ermittlers_st_5;C'est impossible !
spokentexts_a22_dach_seq_a22_dach_auftritt_des_ermittlers_st_6;Les joyaux. Maintenant !
sequences_a22_dach_seq_a22_dach_auftritt_des_ermittlers#11;[As if in a trance the Butler raises his hand, opens his hands and he looks at the stones. He hesitates.]
sequences_a22_dach_seq_a22_dach_auftritt_des_ermittlers#12;[Excited, he holds one of the stones againts the light, looks at it and just ignors the investigator. Shock and anger gets in the face of the butler.]
spokentexts_a22_dach_seq_a22_dach_auftritt_des_ermittlers_st_7_direction;Anger, hatred
spokentexts_a22_dach_seq_a22_dach_auftritt_des_ermittlers_st_7;Aaarrrgh !
sequences_a22_dach_seq_a22_dach_auftritt_des_ermittlers#14;[The butler whirls toward secret door, running toward it. The investigator brings himself into a shooting position, takes the gun in both hands.]
spokentexts_a22_dach_seq_a22_dach_auftritt_des_ermittlers_st_8;Inch ! Ne bougez plus ! Vous êtes en état d'arrestation !
sequences_a22_dach_seq_a22_dach_auftritt_des_ermittlers#16;[The butler ignors him, tries to open the door, already half open.]
sequences_a22_dach_seq_a22_dach_auftritt_des_ermittlers#17;[The investigator lowers the gun a bit, is aiming precisely and fires a shot.]
